Model,Time Interval (s),Temporal Location,Question Category Type,Question Graph Type,Raw 0s,Raw 0.5,Raw 1s,KG-Powered 0s,KG-Powered 0.5s,KG-Powered 1s
GPT 4.1 nano,1,mid,Explanation,Single-Hub,27,8,25,20,5,35
GPT 4.1 nano,1,mid,Explanation,Multi-Hub,37,12,11,28,12,20
GPT 4.1 nano,1,mid,Multiple Choice,Single-Hub,16,8,21,18,2,25
GPT 4.1 nano,1,mid,Multiple Choice,Multi-Hub,20,10,15,23,3,19
GPT 4.1 nano,1,mid,True/False,Single-Hub,10,3,32,7,1,37
GPT 4.1 nano,1,mid,True/False,Multi-Hub,15,13,17,6,10,29
GPT 4o,1,mid,Explanation,Single-Hub,20,6,34,9,2,49
GPT 4o,1,mid,Explanation,Multi-Hub,38,8,14,24,1,35
GPT 4o,1,mid,Multiple Choice,Single-Hub,12,3,30,8,1,36
GPT 4o,1,mid,Multiple Choice,Multi-Hub,16,3,26,5,3,37
GPT 4o,1,mid,True/False,Single-Hub,5,1,39,1,0,44
GPT 4o,1,mid,True/False,Multi-Hub,20,8,17,9,2,34
GPT o4-mini,1,mid,Explanation,Single-Hub,10,13,37,1,1,58
GPT o4-mini,1,mid,Explanation,Multi-Hub,11,11,38,1,2,57
GPT o4-mini,1,mid,Multiple Choice,Single-Hub,11,2,32,1,2,42
GPT o4-mini,1,mid,Multiple Choice,Multi-Hub,8,8,29,2,2,41
GPT o4-mini,1,mid,True/False,Single-Hub,3,3,39,0,1,44
GPT o4-mini,1,mid,True/False,Multi-Hub,12,10,23,3,3,39
GPT 4.1 nano,10,mid,Explanation,Single-Hub,31,12,17,30,3,27
GPT 4.1 nano,10,mid,Explanation,Multi-Hub,49,3,8,36,2,22
GPT 4.1 nano,10,mid,Multiple Choice,Single-Hub,27,7,11,28,2,15
GPT 4.1 nano,10,mid,Multiple Choice,Multi-Hub,22,7,16,23,2,20
GPT 4.1 nano,10,mid,True/False,Single-Hub,17,5,23,12,3,30
GPT 4.1 nano,10,mid,True/False,Multi-Hub,20,9,16,11,5,29
GPT 4o,10,mid,Explanation,Single-Hub,21,13,26,10,4,46
GPT 4o,10,mid,Explanation,Multi-Hub,38,10,12,24,4,32
GPT 4o,10,mid,Multiple Choice,Single-Hub,17,2,26,5,2,38
GPT 4o,10,mid,Multiple Choice,Multi-Hub,16,5,24,7,3,35
GPT 4o,10,mid,True/False,Single-Hub,6,4,35,1,0,44
GPT 4o,10,mid,True/False,Multi-Hub,21,7,17,7,3,35
GPT o4-mini,10,mid,Explanation,Single-Hub,15,5,40,2,0,58
GPT o4-mini,10,mid,Explanation,Multi-Hub,24,6,30,4,5,51
GPT o4-mini,10,mid,Multiple Choice,Single-Hub,11,4,30,0,1,44
GPT o4-mini,10,mid,Multiple Choice,Multi-Hub,18,2,25,6,2,37
GPT o4-mini,10,mid,True/False,Single-Hub,6,2,37,0,1,44
GPT o4-mini,10,mid,True/False,Multi-Hub,18,7,20,4,7,34
GPT 4.1 nano,100,mid,Explanation,Single-Hub,43,9,8,36,1,23
GPT 4.1 nano,100,mid,Explanation,Multi-Hub,35,16,9,39,4,17
GPT 4.1 nano,100,mid,Multiple Choice,Single-Hub,18,4,23,21,3,21
GPT 4.1 nano,100,mid,Multiple Choice,Multi-Hub,25,1,19,25,1,19
GPT 4.1 nano,100,mid,True/False,Single-Hub,12,6,27,8,3,34
GPT 4.1 nano,100,mid,True/False,Multi-Hub,15,12,18,7,8,30
GPT 4o,100,mid,Explanation,Single-Hub,32,8,20,15,1,44
GPT 4o,100,mid,Explanation,Multi-Hub,38,8,14,21,9,30
GPT 4o,100,mid,Multiple Choice,Single-Hub,16,5,24,6,1,38
GPT 4o,100,mid,Multiple Choice,Multi-Hub,20,7,18,8,1,36
GPT 4o,100,mid,True/False,Single-Hub,10,3,32,2,0,43
GPT 4o,100,mid,True/False,Multi-Hub,21,9,15,9,5,31
GPT o4-mini,100,mid,Explanation,Single-Hub,22,4,34,3,1,56
GPT o4-mini,100,mid,Explanation,Multi-Hub,26,12,22,12,3,45
GPT o4-mini,100,mid,Multiple Choice,Single-Hub,13,2,30,1,0,44
GPT o4-mini,100,mid,Multiple Choice,Multi-Hub,17,3,25,4,3,38
GPT o4-mini,100,mid,True/False,Single-Hub,8,3,34,1,0,44
GPT o4-mini,100,mid,True/False,Multi-Hub,22,6,17,2,6,37
